t_in,t_rcv,latence_us,q0_in,q0_rcv
4166928583,4166928585,2,-0.496805,-0.490139
4166968968,4166968970,2,-0.498067,-0.492100
4167019487,4167019489,2,-0.499013,-0.494359
4167029601,4167029603,2,-0.499645,-0.496518
4167049799,4167049802,3,-0.499961,-0.497465
4167110455,4167110458,3,-0.496806,-0.498667
4167130686,4167130689,3,-0.495231,-0.498339
4167161075,4167161077,2,-0.491144,-0.497154
4167181298,4167181300,2,-0.488634,-0.496000
4167241906,4167241908,2,-0.479261,-0.490522
4167272213,4167272215,2,-0.475529,-0.488134
4167312577,4167312580,3,-0.471496,-0.482794
4167332736,4167332739,3,-0.467165,-0.479814
4167363019,4167363022,3,-0.462539,-0.475461
4167413543,4167413546,3,-0.457621,-0.470989
4167433748,4167433750,2,-0.446922,-0.466386
4167474091,4167474093,2,-0.441146,-0.460650
4167494249,4167494252,3,-0.435093,-0.453798
4167524565,4167524567,2,-0.428764,-0.447168
4167585267,4167585270,3,-0.415299,-0.438413
4167605475,4167605477,2,-0.408171,-0.434410
4167625662,4167625665,3,-0.393145,-0.427538
4167656003,4167656006,3,-0.377127,-0.416831
4167686347,4167686349,2,-0.368758,-0.404144
4167746890,4167746893,3,-0.360156,-0.394256
4167756958,4167756962,4,-0.351326,-0.381767
4167767072,4167767074,2,-0.342275,-0.370688
4167787314,4167787317,3,-0.333007,-0.360532
4167827695,4167827697,2,-0.323530,-0.353225
4167837799,4167837802,3,-0.303967,-0.345439
4167888356,4167888358,2,-0.273199,-0.322106
4167928773,4167928775,2,-0.262589,-0.306713
4167959105,4167959107,2,-0.251813,-0.294497
4168009684,4168009686,2,-0.218560,-0.274125
4168039985,4168039988,3,-0.207190,-0.256570
4168110796,4168110799,3,-0.184064,-0.222608
4168141049,4168141051,2,-0.172324,-0.208602
4168171323,4168171326,3,-0.160474,-0.195677
4168242031,4168242033,2,-0.112137,-0.161815
4168262232,4168262234,2,-0.099857,-0.149738
4168282424,4168282426,2,-0.087514,-0.140920
4168322832,4168322834,2,-0.075115,-0.126602
4168332936,4168332945,9,-0.050183,-0.107789
4168363189,4168363191,2,-0.037666,-0.094312
4168433879,4168433880,1,-0.025124,-0.074218
4169111062,4169111065,3,0.377124,0.326583
4169181980,4169181981,1,0.385255,0.340875
4169192104,4169192107,3,0.393143,0.353281
4169222399,4169222401,2,0.415296,0.378567
4169252764,4169252766,2,0.422162,0.385574
4169293276,4169293278,2,0.428762,0.399198
4169333654,4169333656,2,0.435090,0.407834
4169434698,4169434700,2,0.457619,0.441524
4169495360,4169495362,2,0.467163,0.451417
4169515559,4169515561,2,0.471494,0.458271
4169545841,4169545843,2,0.475527,0.463012
4169566060,4169566063,3,0.479260,0.466375
4169596351,4169596353,2,0.482690,0.471994
4169626660,4169626662,2,0.485815,0.474914
4169657048,4169657050,2,0.488633,0.479684
4169677290,4169677293,3,0.491143,0.482140
4169707638,4169707641,3,0.493342,0.486097
4169748092,4169748094,2,0.495230,0.488737
4169818881,4169818883,2,0.498067,0.492826
4169828985,4169828987,2,0.499645,0.495205
4169879540,4169879543,3,0.499961,0.497808
4169909896,4169909898,2,0.499014,0.498743
4169930172,4169930174,2,0.498067,0.499085
4169960438,4169960440,2,0.496806,0.498891
4170021018,4170021020,2,0.491144,0.496966
4170051369,4170051371,2,0.488635,0.494555
4170091891,4170091894,3,0.485817,0.493084
4170112076,4170112080,4,0.482692,0.490081
4170142316,4170142318,2,0.475529,0.488244
4170202998,4170203001,3,0.467166,0.479937
4170293936,4170293940,4,0.446922,0.464250
4170334349,4170334352,3,0.441147,0.459623
4170354564,4170354566,2,0.435094,0.451656
4170384900,4170384904,4,0.428765,0.447304
4170415214,4170415216,2,0.422166,0.440925
4170435443,4170435445,2,0.415300,0.434407
4170475857,4170475860,3,0.408171,0.426252
4170506181,4170506183,2,0.400786,0.421623
4170556742,4170556744,2,0.393146,0.412852
4170566850,4170566853,3,0.385259,0.407790
4170576973,4170576975,2,0.377128,0.398284
4170607443,4170607446,3,0.368759,0.392831
4170637753,4170637756,3,0.351327,0.384603
4170678162,4170678164,2,0.342276,0.372411
4170728710,4170728712,2,0.313848,0.350716
4170759034,4170759037,3,0.303968,0.342982
4170779217,4170779219,2,0.283637,0.329735
4170809484,4170809487,3,0.273200,0.315521
4170839842,4170839846,4,0.262590,0.300225
4170870124,4170870126,2,0.251815,0.283489
4170951225,4170951227,2,0.195690,0.243617
4170981518,4170981521,3,0.184065,0.230376
4171011968,4171011971,3,0.172325,0.209709
4171032186,4171032189,3,0.160475,0.199224
4171062476,4171062478,2,0.148524,0.182352
4171092790,4171092793,3,0.136479,0.170415
4171133180,4171133182,2,0.124349,0.161601
4171163493,4171163496,3,0.112139,0.148828
4171203956,4171203961,5,0.099858,0.133049
4171224159,4171224162,3,0.087515,0.124391
4171284837,4171284839,2,0.062670,0.111824
4171294946,4171294948,2,0.050184,0.105575
4171305033,4171305035,2,0.037667,0.093868
4171466742,4171466744,2,-0.062663,-0.012483
4171497031,4171497033,2,-0.075109,-0.023343
4171608150,4171608152,2,-0.136472,-0.089741
4171628344,4171628346,2,-0.148517,-0.106840
4171658674,4171658676,2,-0.172318,-0.118453
4171688998,4171689012,14,-0.184059,-0.130296
4171739491,4171739493,2,-0.195683,-0.148987
4171749602,4171749605,3,-0.207184,-0.166278
4171769792,4171769794,2,-0.218554,-0.181365
4171820378,4171820381,3,-0.240873,-0.207271
4171870953,4171870955,2,-0.251808,-0.219162
4171881075,4171881077,2,-0.273194,-0.230666
4171901247,4171901249,2,-0.303962,-0.242931
4171961880,4171961883,3,-0.313843,-0.258483
4171971995,4171971997,2,-0.323526,-0.277947
4172022486,4172022488,2,-0.333004,-0.295275
4172062896,4172062899,3,-0.360153,-0.321592
4172093206,4172093208,2,-0.377125,-0.333602
